Region,Quartile,Without axfr (pub),With axfr (pub),Without axfr (pvt),With axfr (pvt)
Hessen,1,100.0,0.0,100.0,0.0
Saarland,1,100.0,0.0,100.0,0.0
Thüringen,1,100.0,0.0,100.0,0.0
Schleswig-Holstein,1,100.0,0.0,100.0,0.0
Sachsen-Anhalt,1,100.0,0.0,100.0,0.0
Hamburg,2,100.0,0.0,100.0,0.0
Sachsen,2,100.0,0.0,100.0,0.0
Mecklenburg-Vorpommern,2,100.0,0.0,0.0,0.0
Niedersachsen,2,100.0,0.0,100.0,0.0
Bayern,3,97.05882352941177,2.941176470588235,100.0,0.0
Berlin,3,100.0,0.0,96.42857142857143,3.571428571428571
Baden-Württemberg,3,100.0,0.0,95.83333333333334,4.166666666666666
Rheinland-Pfalz,3,93.33333333333333,6.666666666666667,100.0,0.0
Nordrhein-Westfalen,4,95.23809523809523,4.761904761904762,96.0,4.0
Brandenburg,4,90.0,10.0,100.0,0.0
Bremen,4,100.0,0.0,50.0,50.0
Total,4,98.23321554770318,1.76678445229682,97.71428571428571,2.2857142857142856
