Region,Quartile,Without DNSSEC (pub),With Invalid DNSSEC (pub),With Valid DNSSEC (pub),Without DNSSEC (pvt),With Invalid DNSSEC (pvt),With Valid DNSSEC (pvt)
Bayern,1,41.17647058823529,0.0,58.82352941176471,75.0,0.0,25.0
Mecklenburg-Vorpommern,1,71.42857142857143,0.0,28.57142857142857,0.0,0.0,0.0
Brandenburg,1,80.0,0.0,20.0,88.88888888888889,0.0,11.11111111111111
Rheinland-Pfalz,1,86.66666666666667,0.0,13.333333333333334,83.33333333333334,0.0,16.666666666666664
Bremen,1,80.0,0.0,20.0,100.0,0.0,0.0
Hamburg,2,80.0,0.0,20.0,100.0,0.0,0.0
Nordrhein-Westfalen,2,85.71428571428571,0.0,14.285714285714285,92.0,4.0,4.0
Niedersachsen,2,95.23809523809523,0.0,4.761904761904762,93.75,0.0,6.25
Hessen,2,90.9090909090909,0.0,9.090909090909092,100.0,0.0,0.0
Berlin,3,91.66666666666666,0.0,8.333333333333332,100.0,0.0,0.0
Sachsen,3,95.65217391304348,0.0,4.3478260869565215,100.0,0.0,0.0
Baden-Württemberg,3,95.83333333333334,0.0,4.166666666666666,100.0,0.0,0.0
Saarland,3,100.0,0.0,0.0,100.0,0.0,0.0
Sachsen-Anhalt,4,100.0,0.0,0.0,100.0,0.0,0.0
Schleswig-Holstein,4,100.0,0.0,0.0,100.0,0.0,0.0
Thüringen,4,100.0,0.0,0.0,100.0,0.0,0.0
Total,4,85.15901060070671,0.0,14.840989399293287,95.42857142857143,0.5714285714285714,4.0
