Region,Quartile,Invalid (pub),HTTP Only (pub),HTTP and HTTPS (pub),HTTP to HTTPS (Same Domain) (pub),HTTP to HTTPS (Other Domain) (pub),HTTPS Only (pub),Invalid (pvt),HTTP Only (pvt),HTTP and HTTPS (pvt),HTTP to HTTPS (Same Domain) (pvt),HTTP to HTTPS (Other Domain) (pvt),HTTPS Only (pvt)
Hamburg,1,0.0,0.0,0.0,90.0,0.0,10.0,0.0,0.0,9.090909090909092,81.81818181818183,9.090909090909092,0.0
Thüringen,1,0.0,0.0,0.0,90.9090909090909,0.0,9.090909090909092,0.0,0.0,0.0,100.0,0.0,0.0
Sachsen,1,0.0,0.0,0.0,91.30434782608695,4.3478260869565215,4.3478260869565215,0.0,0.0,0.0,85.71428571428571,14.285714285714285,0.0
Baden-Württemberg,1,0.0,0.0,4.166666666666666,93.75,0.0,2.083333333333333,0.0,0.0,4.166666666666666,95.83333333333334,0.0,0.0
Bayern,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Saarland,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Sachsen-Anhalt,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Schleswig-Holstein,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Berlin,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.142857142857142,92.85714285714286,0.0,0.0
Nordrhein-Westfalen,3,0.0,0.0,0.0,95.23809523809523,4.761904761904762,0.0,0.0,0.0,4.0,96.0,0.0,0.0
Brandenburg,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,11.11111111111111,88.88888888888889,0.0,0.0
Hessen,3,0.0,0.0,4.545454545454546,95.45454545454545,0.0,0.0,0.0,0.0,0.0,91.30434782608695,8.695652173913043,0.0
Bremen,3,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Niedersachsen,4,0.0,4.761904761904762,4.761904761904762,90.47619047619048,0.0,0.0,0.0,0.0,6.25,87.5,6.25,0.0
Mecklenburg-Vorpommern,4,0.0,14.285714285714285,0.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rheinland-Pfalz,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16.666666666666664,50.0,33.33333333333333,0.0
Total,4,0.0,0.7067137809187279,1.4134275618374559,95.0530035335689,1.4134275618374559,1.4134275618374559,0.0,0.0,4.571428571428571,91.42857142857143,4.0,0.0
