Region,Global #,Invalid #,Invalid %,HTTP Only (Public) #,HTTP Only (Public) %,HTTP Only (Private) #,HTTP Only (Private) %,HTTP and HTTPS (Public) #,HTTP and HTTPS (Public) %,HTTP and HTTPS (Private) #,HTTP and HTTPS (Private) %,HTTP to HTTPS (Same Domain) (Public) #,HTTP to HTTPS (Same Domain) (Public) %,HTTP to HTTPS (Same Domain) (Private) #,HTTP to HTTPS (Same Domain) (Private) %,HTTP to HTTPS (Other Domain) (Public) #,HTTP to HTTPS (Other Domain) (Public) %,HTTP to HTTPS (Other Domain) (Private) #,HTTP to HTTPS (Other Domain) (Private) %,HTTPS Only (Public) #,HTTPS Only (Public) %,HTTPS Only (Private) #,HTTPS Only (Private) %
Baden-Württemberg,72,0,0.0,0,0.0,0,0.0,2,2.7777777777777777,1,1.3888888888888888,45,62.5,23,31.944444444444443,0,0.0,0,0.0,1,1.3888888888888888,0,0.0
Bayern,46,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,34,73.91304347826086,12,26.08695652173913,0,0.0,0,0.0,0,0.0,0,0.0
Berlin,40,0,0.0,0,0.0,0,0.0,0,0.0,2,5.0,12,30.0,26,65.0,0,0.0,0,0.0,0,0.0,0,0.0
Brandenburg,19,0,0.0,0,0.0,0,0.0,0,0.0,1,5.263157894736842,10,52.63157894736842,8,42.10526315789473,0,0.0,0,0.0,0,0.0,0,0.0
Bremen,7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,57.14285714285714,2,28.57142857142857,1,14.285714285714285,0,0.0,0,0.0,0,0.0
Hamburg,21,0,0.0,0,0.0,0,0.0,0,0.0,1,4.761904761904762,9,42.857142857142854,9,42.857142857142854,0,0.0,1,4.761904761904762,1,4.761904761904762,0,0.0
Hessen,45,0,0.0,0,0.0,0,0.0,1,2.2222222222222223,0,0.0,21,46.666666666666664,21,46.666666666666664,0,0.0,2,4.444444444444445,0,0.0,0,0.0
Nordrhein-Westfalen,67,0,0.0,0,0.0,0,0.0,0,0.0,1,1.4925373134328357,40,59.70149253731343,24,35.82089552238806,2,2.9850746268656714,0,0.0,0,0.0,0,0.0
Rheinland-Pfalz,21,0,0.0,0,0.0,0,0.0,0,0.0,1,4.761904761904762,15,71.42857142857143,3,14.285714285714285,0,0.0,2,9.523809523809524,0,0.0,0,0.0
Saarland,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,50.0,5,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Sachsen,30,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,21,70.0,6,20.0,1,3.3333333333333335,1,3.3333333333333335,1,3.3333333333333335,0,0.0
Sachsen-Anhalt,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,80.0,2,20.0,0,0.0,0,0.0,0,0.0,0,0.0
Schleswig-Holstein,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,76.92307692307693,3,23.076923076923077,0,0.0,0,0.0,0,0.0,0,0.0
Thüringen,13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,76.92307692307693,2,15.384615384615385,0,0.0,0,0.0,1,7.6923076923076925,0,0.0
Niedersachsen,37,0,0.0,1,2.7027027027027026,0,0.0,1,2.7027027027027026,1,2.7027027027027026,19,51.35135135135135,14,37.83783783783784,0,0.0,1,2.7027027027027026,0,0.0,0,0.0
Mecklenburg-Vorpommern,7,0,0.0,1,14.285714285714285,0,0.0,0,0.0,0,0.0,6,85.71428571428571,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Total,458,0,0.0,2,0.43668122270742354,0,0.0,4,0.8733624454148471,8,1.7467248908296942,269,58.73362445414847,160,34.93449781659388,4,0.8733624454148471,7,1.5283842794759825,4,0.8733624454148471,0,0.0
