Region,Global #,Invalid #,Invalid %,HTTP Only #,HTTP Only %,HTTP and HTTPS #,HTTP and HTTPS %,HTTP to HTTPS (Same Domain) #,HTTP to HTTPS (Same Domain) %,HTTP to HTTPS (Other Domain) #,HTTP to HTTPS (Other Domain) %,HTTPS Only #,HTTPS Only %
Baden-Württemberg,48,0,0.0,0,0.0,2,4.166666666666666,45,93.75,0,0.0,1,2.083333333333333
Bayern,34,0,0.0,0,0.0,0,0.0,34,100.0,0,0.0,0,0.0
Berlin,12,0,0.0,0,0.0,0,0.0,12,100.0,0,0.0,0,0.0
Brandenburg,10,0,0.0,0,0.0,0,0.0,10,100.0,0,0.0,0,0.0
Bremen,5,0,0.0,0,0.0,0,0.0,4,80.0,1,20.0,0,0.0
Hamburg,10,0,0.0,0,0.0,0,0.0,9,90.0,0,0.0,1,10.0
Hessen,22,0,0.0,0,0.0,1,4.545454545454546,21,95.45454545454545,0,0.0,0,0.0
Nordrhein-Westfalen,42,0,0.0,0,0.0,0,0.0,40,95.23809523809523,2,4.761904761904762,0,0.0
Rheinland-Pfalz,15,0,0.0,0,0.0,0,0.0,15,100.0,0,0.0,0,0.0
Saarland,5,0,0.0,0,0.0,0,0.0,5,100.0,0,0.0,0,0.0
Sachsen,23,0,0.0,0,0.0,0,0.0,21,91.30434782608695,1,4.3478260869565215,1,4.3478260869565215
Sachsen-Anhalt,8,0,0.0,0,0.0,0,0.0,8,100.0,0,0.0,0,0.0
Schleswig-Holstein,10,0,0.0,0,0.0,0,0.0,10,100.0,0,0.0,0,0.0
Thüringen,11,0,0.0,0,0.0,0,0.0,10,90.9090909090909,0,0.0,1,9.090909090909092
Niedersachsen,21,0,0.0,1,4.761904761904762,1,4.761904761904762,19,90.47619047619048,0,0.0,0,0.0
Mecklenburg-Vorpommern,7,0,0.0,1,14.285714285714285,0,0.0,6,85.71428571428571,0,0.0,0,0.0
Total,283,0,0.0,2,0.7067137809187279,4,1.4134275618374559,269,95.0530035335689,4,1.4134275618374559,4,1.4134275618374559
