Region,Global #,Public #,Public %,Private #,Private %
Berlin,40,12,30.0,28,70.0
Hamburg,21,10,47.61904761904761,11,52.38095238095239
Hessen,45,22,48.888888888888886,23,51.11111111111111
Saarland,10,5,50.0,5,50.0
Brandenburg,19,10,52.63157894736842,9,47.368421052631575
Niedersachsen,37,21,56.75675675675676,16,43.24324324324324
Nordrhein-Westfalen,67,42,62.68656716417911,25,37.3134328358209
Baden-Württemberg,72,48,66.66666666666666,24,33.33333333333333
Bremen,7,5,71.42857142857143,2,28.57142857142857
Rheinland-Pfalz,21,15,71.42857142857143,6,28.57142857142857
Bayern,46,34,73.91304347826086,12,26.08695652173913
Sachsen,30,23,76.66666666666667,7,23.333333333333332
Schleswig-Holstein,13,10,76.92307692307693,3,23.076923076923077
Sachsen-Anhalt,10,8,80.0,2,20.0
Thüringen,13,11,84.61538461538461,2,15.384615384615385
Mecklenburg-Vorpommern,7,7,100.0,0,0.0
Total,458,283,61.79039301310044,175,38.209606986899566
