Region,Quartile,Without SSL (pub),2048 (RSA) (pub),3072 (RSA) (pub),256 (ECC) (pub),4096 (RSA) (pub),384 (ECC) (pub),8192 (RSA) (pub),Without SSL (pvt),2048 (RSA) (pvt),3072 (RSA) (pvt),256 (ECC) (pvt),4096 (RSA) (pvt),384 (ECC) (pvt),8192 (RSA) (pvt)
Nordrhein-Westfalen,1,0.0,52.38095238095239,0.0,0.0,40.476190476190474,4.761904761904762,2.380952380952381,0.0,72.0,0.0,0.0,28.000000000000004,0.0,0.0
Schleswig-Holstein,1,0.0,40.0,0.0,0.0,50.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Brandenburg,1,0.0,60.0,0.0,0.0,30.0,10.0,0.0,0.0,88.88888888888889,0.0,0.0,11.11111111111111,0.0,0.0
Hamburg,1,0.0,70.0,0.0,0.0,20.0,10.0,0.0,0.0,81.81818181818183,0.0,9.090909090909092,9.090909090909092,0.0,0.0
Rheinland-Pfalz,1,0.0,46.666666666666664,0.0,0.0,46.666666666666664,6.666666666666667,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Baden-Württemberg,2,4.166666666666666,45.83333333333333,0.0,10.416666666666668,37.5,2.083333333333333,0.0,0.0,83.33333333333334,0.0,0.0,12.5,4.166666666666666,0.0
Mecklenburg-Vorpommern,2,14.285714285714285,0.0,0.0,0.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bremen,2,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,0.0,0.0
Hessen,2,0.0,31.818181818181817,0.0,4.545454545454546,63.63636363636363,0.0,0.0,0.0,78.26086956521739,4.3478260869565215,0.0,17.391304347826086,0.0,0.0
Saarland,3,0.0,40.0,0.0,0.0,60.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Bayern,3,0.0,44.11764705882353,0.0,5.88235294117647,50.0,0.0,0.0,0.0,75.0,8.333333333333332,8.333333333333332,8.333333333333332,0.0,0.0
Berlin,3,0.0,41.66666666666667,0.0,16.666666666666664,41.66666666666667,0.0,0.0,0.0,82.14285714285714,0.0,3.571428571428571,14.285714285714285,0.0,0.0
Niedersachsen,3,4.761904761904762,52.38095238095239,0.0,0.0,42.857142857142854,0.0,0.0,0.0,87.5,0.0,0.0,12.5,0.0,0.0
Sachsen,4,0.0,52.17391304347826,4.3478260869565215,0.0,43.47826086956522,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Sachsen-Anhalt,4,0.0,50.0,0.0,12.5,37.5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Thüringen,4,0.0,63.63636363636363,0.0,0.0,36.36363636363637,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Total,4,1.4134275618374559,46.64310954063604,0.35335689045936397,3.8869257950530036,44.87632508833922,2.4734982332155475,0.35335689045936397,0.0,82.85714285714286,1.1428571428571428,1.7142857142857144,13.714285714285715,0.5714285714285714,0.0
