Region,Global #,Without SSL #,Without SSL %,2048 (RSA) #,2048 (RSA) %,3072 (RSA) #,3072 (RSA) %,256 (ECC) #,256 (ECC) %,4096 (RSA) #,4096 (RSA) %,384 (ECC) #,384 (ECC) %,8192 (RSA) #,8192 (RSA) %
Mecklenburg-Vorpommern,7,1,14.285714285714285,0,0.0,0,0.0,0,0.0,6,85.71428571428571,0,0.0,0,0.0
Niedersachsen,21,1,4.761904761904762,11,52.38095238095239,0,0.0,0,0.0,9,42.857142857142854,0,0.0,0,0.0
Baden-Württemberg,48,2,4.166666666666666,22,45.83333333333333,0,0.0,5,10.416666666666668,18,37.5,1,2.083333333333333,0,0.0
Bayern,34,0,0.0,15,44.11764705882353,0,0.0,2,5.88235294117647,17,50.0,0,0.0,0,0.0
Berlin,12,0,0.0,5,41.66666666666667,0,0.0,2,16.666666666666664,5,41.66666666666667,0,0.0,0,0.0
Brandenburg,10,0,0.0,6,60.0,0,0.0,0,0.0,3,30.0,1,10.0,0,0.0
Bremen,5,0,0.0,1,20.0,0,0.0,0,0.0,4,80.0,0,0.0,0,0.0
Hamburg,10,0,0.0,7,70.0,0,0.0,0,0.0,2,20.0,1,10.0,0,0.0
Hessen,22,0,0.0,7,31.818181818181817,0,0.0,1,4.545454545454546,14,63.63636363636363,0,0.0,0,0.0
Nordrhein-Westfalen,42,0,0.0,22,52.38095238095239,0,0.0,0,0.0,17,40.476190476190474,2,4.761904761904762,1,2.380952380952381
Rheinland-Pfalz,15,0,0.0,7,46.666666666666664,0,0.0,0,0.0,7,46.666666666666664,1,6.666666666666667,0,0.0
Saarland,5,0,0.0,2,40.0,0,0.0,0,0.0,3,60.0,0,0.0,0,0.0
Sachsen,23,0,0.0,12,52.17391304347826,1,4.3478260869565215,0,0.0,10,43.47826086956522,0,0.0,0,0.0
Sachsen-Anhalt,8,0,0.0,4,50.0,0,0.0,1,12.5,3,37.5,0,0.0,0,0.0
Schleswig-Holstein,10,0,0.0,4,40.0,0,0.0,0,0.0,5,50.0,1,10.0,0,0.0
Thüringen,11,0,0.0,7,63.63636363636363,0,0.0,0,0.0,4,36.36363636363637,0,0.0,0,0.0
Total,283,4,1.4134275618374559,132,46.64310954063604,1,0.35335689045936397,11,3.8869257950530036,127,44.87632508833922,7,2.4734982332155475,1,0.35335689045936397
