Region,Quartile,Without SSL (pub),SSLv2.0 (pub),SSLv3.0 (pub),TLSv1.0 (pub),TLSv1.1 (pub),TLSv1.2 (pub),TLSv1.3 (pub),Without SSL (pvt),SSLv2.0 (pvt),SSLv3.0 (pvt),TLSv1.0 (pvt),TLSv1.1 (pvt),TLSv1.2 (pvt),TLSv1.3 (pvt)
Sachsen-Anhalt,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Thüringen,1,0.0,0.0,0.0,9.090909090909092,0.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Bremen,1,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Hamburg,1,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Sachsen,1,0.0,0.0,0.0,4.3478260869565215,4.3478260869565215,91.30434782608695,0.0,0.0,0.0,0.0,14.285714285714285,0.0,85.71428571428571,0.0
Rheinland-Pfalz,2,0.0,0.0,0.0,6.666666666666667,0.0,93.33333333333333,0.0,0.0,0.0,0.0,16.666666666666664,0.0,83.33333333333334,0.0
Baden-Württemberg,2,4.166666666666666,0.0,0.0,4.166666666666666,0.0,91.66666666666666,0.0,0.0,0.0,0.0,20.833333333333336,0.0,79.16666666666666,0.0
Brandenburg,2,0.0,0.0,0.0,20.0,0.0,80.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,88.88888888888889,0.0
Bayern,2,0.0,0.0,0.0,14.705882352941178,0.0,85.29411764705883,0.0,0.0,0.0,0.0,16.666666666666664,0.0,83.33333333333334,0.0
Niedersachsen,3,4.761904761904762,0.0,0.0,9.523809523809524,0.0,85.71428571428571,0.0,0.0,0.0,0.0,18.75,0.0,81.25,0.0
Hessen,3,0.0,0.0,4.545454545454546,0.0,0.0,95.45454545454545,0.0,0.0,0.0,0.0,30.434782608695656,0.0,69.56521739130434,0.0
Nordrhein-Westfalen,3,0.0,0.0,0.0,16.666666666666664,0.0,83.33333333333334,0.0,0.0,0.0,0.0,20.0,0.0,80.0,0.0
Berlin,3,0.0,0.0,0.0,25.0,0.0,75.0,0.0,0.0,0.0,0.0,25.0,0.0,75.0,0.0
Saarland,4,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20.0,40.0,0.0,40.0,0.0
Schleswig-Holstein,4,0.0,0.0,0.0,30.0,0.0,70.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,66.66666666666666,0.0
Mecklenburg-Vorpommern,4,14.285714285714285,0.0,0.0,0.0,0.0,85.71428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,4,1.4134275618374559,0.0,0.35335689045936397,10.60070671378092,0.35335689045936397,87.27915194346289,0.0,0.0,0.0,0.5714285714285714,20.0,0.0,79.42857142857143,0.0
