Region,Global #,Without SSL #,Without SSL %,SSLv2.0 #,SSLv2.0 %,SSLv3.0 #,SSLv3.0 %,TLSv1.0 #,TLSv1.0 %,TLSv1.1 #,TLSv1.1 %,TLSv1.2 #,TLSv1.2 %,TLSv1.3 #,TLSv1.3 %
Baden-Württemberg,24,0,0.0,0,0.0,0,0.0,5,20.833333333333336,0,0.0,19,79.16666666666666,0,0.0
Bayern,12,0,0.0,0,0.0,0,0.0,2,16.666666666666664,0,0.0,10,83.33333333333334,0,0.0
Berlin,28,0,0.0,0,0.0,0,0.0,7,25.0,0,0.0,21,75.0,0,0.0
Brandenburg,9,0,0.0,0,0.0,0,0.0,1,11.11111111111111,0,0.0,8,88.88888888888889,0,0.0
Bremen,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0
Hamburg,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,11,100.0,0,0.0
Hessen,23,0,0.0,0,0.0,0,0.0,7,30.434782608695656,0,0.0,16,69.56521739130434,0,0.0
Niedersachsen,16,0,0.0,0,0.0,0,0.0,3,18.75,0,0.0,13,81.25,0,0.0
Nordrhein-Westfalen,25,0,0.0,0,0.0,0,0.0,5,20.0,0,0.0,20,80.0,0,0.0
Rheinland-Pfalz,6,0,0.0,0,0.0,0,0.0,1,16.666666666666664,0,0.0,5,83.33333333333334,0,0.0
Saarland,5,0,0.0,0,0.0,1,20.0,2,40.0,0,0.0,2,40.0,0,0.0
Sachsen,7,0,0.0,0,0.0,0,0.0,1,14.285714285714285,0,0.0,6,85.71428571428571,0,0.0
Sachsen-Anhalt,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0
Schleswig-Holstein,3,0,0.0,0,0.0,0,0.0,1,33.33333333333333,0,0.0,2,66.66666666666666,0,0.0
Thüringen,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0
Total,175,0,0.0,0,0.0,1,0.5714285714285714,35,20.0,0,0.0,139,79.42857142857143,0,0.0
